"LtnSmRBar",U+F213,U+024D
"LtnCapYStrk",U+F244,U+024E
"LtnSmYStrk",U+F243,U+024F
"CyCapHaHook",U+F324,U+04FC
"CySmHaHook",U+F325,U+04FD
"CyCapHaStrk",U+F328,U+04FE
"CySmHaStrk",U+F329,U+04FF
"CyCapRevZe",U+F32A,U+0510
"CySmRevZe",U+F32B,U+0511
"CyCapElHook",U+F322,U+0512
"CySmElHook",U+F323,U+0513
"CombMacron_Acute",U+F171,U+1DC4
"CombGrave_Macron",U+F172,U+1DC5
"CombMacron_Grave",U+F173,U+1DC6
"CombAcute_Macron",U+F174,U+1DC7
"CombGrave_Acute_Grave",U+F175,U+1DC8
"CombAcute_Grave_Acute",U+F179,U+1DC9
"CombLtnSmRBlw",U+F178,U+1DCA
"LtnCapDblBarredL",U+F20F,U+2C60
"LtnSmDblBarredL",U+F20E,U+2C61
"LtnCapLMiddleTilde",U+F242,U+2C62
"LtnCapPStrk",U+F25C,U+2C63
"LtnCapRHookTail",U+F215,U+2C64
"LtnCapHDesc",U+F223,U+2C67
"LtnSmHDesc",U+F222,U+2C68
"LtnCapKDesc",U+F263,U+2C69
"LtnSmKDesc",U+F262,U+2C6A
"LtnCapZDesc",U+F265,U+2C6B
"LtnSmZDesc",U+F264,U+2C6C
"LtnSmVCurl",U+F25E,U+2C74
"ModChinantecTnMrkBackslash",U+F195,U+02CB
"ModChinantecTnMrkVertBar",U+F196,U+02C8
"ModChinantecTnMrkSlash",U+F197,U+02CA
"ModChinantecTnMrkDotVertBar",U+F198,U+A717
"ModChinantecTnMrkDotSlash",U+F199,U+A718
"ModChinantecTnMrkDotHorizBar",U+F19A,U+A719
"ModChinantecTnMrkLowRtCorner",U+F19B,U+A71A
"ModRaisedUpArrw",U+F19C,U+A71B
"ModRaisedDwnArrw",U+F19D,U+A71C
"ModRaisedExclamationMrk",U+F19E,U+A71D
"ModRaisedInvExclamationMrk",U+F19F,U+A71E
"LtnCapSmAlpha",U+F208,U+2C6D
"LtnSmWHook",U+F21A,U+2C73
"LtnCapWHook",U+F21B,U+2C72
"LtnSmTresillo",U+F245,U+A72B
"LtnSmCuatrillo",U+F246,U+A72D
"LtnSmHeng",U+F25A,U+A727
"LtnCapMHook",U+F25B,U+2C6E
"LtnSmVRtHook",U+F25F,U+2C71
"ModLowCircum",U+F1E7,U+A788
"ModLowColon",U+F1E9,U+A789
"ModShortEqSgn",U+F1EA,U+A78A
"LtnCapSaltillo",U+F26A,U+A78B
"LtnSmSaltillo",U+F21D,U+A78C
